"Date","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"07/01/2014","              0.15","             20.63","              0.00","              0.04","              0","       11209386","              0.00","              0.00","          20648","              0","         923948","      128296034","         309928.210","       42948326.605","         1102864687","        29999319568","            411.508","          11201.773",
"08/01/2014","              0.19","             27.66","              0.00","              0.04","              0","       16179593","              0.00","              0.00","          24972","              0","        1211412","      172028750","         403034.223","       57370664.221","         1468935975","        39945221148","            552.193","          14974.022",
"09/01/2014","              0.53","             26.91","              0.00","              0.04","              0","       16119191","              0.00","              0.00","          10134","              0","        3279914","      167375470","        1026745.509","       52418843.477","         9140886476","        36520173509","           3651.583","          14576.431",
"10/01/2014","              0.88","             25.87","              0.00","              0.05","              0","       17232926","              0.00","              0.00","           1830","              0","        5479637","      160891051","        1835285.265","       53898245.497","        16909580332","        37787283709","           6310.815","          14099.972",
"11/01/2014","              1.66","             28.43","              0.00","              0.04","              0","       16016412","              0.00","              0.00","           7734","              0","       10334419","      176819586","        3237345.925","       55390779.290","        20028059098","        39919631803","           7991.545","          15929.341",
"12/01/2014","              1.08","             22.87","              0.00","              0.03","              0","       10473525","              0.00","              0.00","              0","              0","        6698219","      142279119","        2234492.272","       47406154.477","        18318410663","        35125456842","           6870.462","          13174.706",
"01/01/2015","              1.13","             27.03","              0.00","              0.04","              0","       14484362","              0.00","              0.00","             74","              0","        7008646","      168097416","        2337384.629","       56061258.584","        21365574152","        41007578323","           8007.997","          15370.120",
"02/01/2015","              1.37","             28.61","              0.00","              0.03","              0","        6631579","              0.00","              0.00","           1811","              0","        8519967","      177970970","        1543152.632","       29980217.422","        12386635473","        21932938211","           8040.133","          15223.397",
"03/01/2015","              1.57","             35.25","              0.00","              0.05","              0","        7216108","              0.00","              0.00","              1","              0","        9749059","      219258808","        1075917.216","       22511252.439","         7832465216","        14663799310","           9394.099","          18517.719",
"04/01/2015","              1.59","             31.45","              0.00","              0.03","              0","        6368173","              0.00","              0.00","           6286","              0","        9912758","      195588748","        1704633.657","       33828938.920","        11381253886","        22682105562","           8711.254","          16829.395",
"05/01/2015","              1.13","             25.73","              0.00","              0.02","              0","        6344292","              0.00","              0.00","            538","              0","        7036863","      160018687","        2351072.706","       53429166.768","        19186496649","        36931337950","           7182.234","          13827.433",
"06/01/2015","              1.38","             33.93","              0.00","              0.04","              0","       20074379","              0.00","              0.00","           1810","              0","        8566139","      211053132","        2667745.943","       65636680.698","        22985338301","        44815569219","           9238.863","          18016.438",
"07/01/2015","              1.93","             31.07","              0.00","              0.07","              0","       29062687","              0.00","              0.00","              0","              0","       12012310","      193262207","        3889461.886","       62645584.314","        22158754619","        42743504936","           8547.503","          16485.309",
"08/01/2015","              1.39","             34.19","              0.00","              0.02","              0","        9937929","              0.00","              0.00","           4301","              0","        8656147","      212633917","        2805883.732","       68905403.224","        21729971971","        43926570514","           8381.292","          16942.470",
"09/01/2015","              1.41","             33.24","              0.00","              0.04","              0","       16361466","              0.00","              0.00","           9343","              0","        8785753","      206729767","        2752161.828","       64739387.146","        21789228917","        41999745758","           8694.126","          16759.106",
"10/01/2015","              1.60","             36.31","              0.00","              0.06","              0","       26974788","              0.00","              0.00","              1","              0","        9975139","      225820260","        3232298.961","       73172441.583","        23036089317","        44277012972","           8886.871","          17081.158",
"11/01/2015","              1.81","             41.09","              0.00","              0.09","              0","       38820971","              0.00","              0.00","              1","              0","       11274661","      255583265","        3263293.776","       73648957.006","        22213809013","        42579276334","           9701.127","          18561.723",
"12/01/2015","              1.72","             39.62","              0.00","              0.08","              0","       40135355","              0.00","              0.00","           6708","              0","       10723806","      246431473","        3590415.942","       82495460.341","        24443607428","        47362313030","           9125.887","          17682.847",


