"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/01/2016 00:00","          1.42","          0.31","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       8822959","       1945537","          989.274","          218.143","      1269460","       451332","         1415.229","          503.157",
"01/01/2016 00:15","          0.99","         11.52","         0.00","         0.61","            0","        14260","         0.00","         0.00","            0","            0","       6154958","      71636566","          693.202","         8068.068","      1581554","      2326655","         1755.332","         2582.303",
"01/01/2016 00:30","          0.91","         17.57","         0.00","         0.07","            0","         2452","         0.00","         0.00","            0","            0","       5689005","     109293098","          640.013","        12295.473","      1871299","      3351065","         2079.221","         3723.406",
"01/01/2016 00:45","          0.80","         13.87","         0.00","         0.09","            0","         2450","         0.00","         0.00","            0","            0","       4997710","      86277847","          563.492","         9727.828","      2067393","      2737112","         2292.010","         3034.492",
"01/01/2016 01:00","          0.81","          0.31","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       5063526","       1938849","          572.811","          219.332","       829965","       450802","          917.088","          498.124",
"01/01/2016 01:15","          1.25","         46.24","         0.00","         0.01","            0","         1154","         0.00","         0.00","            0","            0","       7798188","     287640808","          880.220","        32467.456","      4797308","      8265599","         5312.633","         9153.487",
"01/01/2016 01:30","          1.00","         15.27","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       6234528","      94950424","          691.253","        10527.628","      2556858","      2957840","         2882.591","         3334.656",
"01/01/2016 01:45","          0.98","         52.27","         0.00","         0.10","            0","         9290","         0.00","         0.00","            0","            0","       6075030","     325090118","          686.478","        36735.185","      2386038","      9236399","         2639.423","        10217.256",
"01/01/2016 02:00","          0.90","          0.27","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       5576232","       1688433","          627.326","          189.949","       920440","       393355","         1022.711","          437.061",
"01/01/2016 02:15","          0.90","          3.03","         0.00","         0.00","            0","            0","         0.00","         0.00","            2","            0","       5608853","      18862976","          631.697","         2124.443","      1099481","       891487","         1220.290","          989.442",
"01/01/2016 02:30","          1.20","          6.26","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       7494359","      38962791","          848.736","         4412.536","      1441034","      1412882","         1590.545","         1559.472",
"01/01/2016 02:45","          1.33","         18.01","         0.00","         0.69","            0","        23311","         0.00","         0.00","            0","            0","       8270717","     112040642","          921.151","        12478.526","      1937190","      3346258","         2174.175","         3755.621",
"01/01/2016 03:00","          0.85","          0.27","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       5310492","       1709857","          601.413","          193.641","      1181565","       386326","         1304.156","          426.408",
"01/01/2016 03:15","          0.91","          2.18","         0.00","         0.00","            0","            0","         0.00","         0.00","            1","            0","       5678593","      13544456","          638.132","         1522.058","      1283447","       712656","         1427.638","          792.721",
"01/01/2016 03:30","          0.92","         13.25","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       5749541","      82392166","          642.511","         9207.325","      1863078","      2601363","         2083.980","         2909.802",
"01/01/2016 03:45","          0.97","         22.99","         0.00","         1.09","            0","        46785","         0.00","         0.00","            0","            0","       6033932","     143008392","          676.555","        16034.817","      1921834","      4226289","         2142.513","         4711.582",
"01/01/2016 04:00","          3.69","          0.99","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      22960564","       6149757","         2617.504","          701.072","      2752625","      1219174","         3018.229","         1336.814",
"01/01/2016 04:15","          0.94","          2.93","         0.00","         0.11","            0","          939","         0.00","         0.00","            0","            0","       5849387","      18245979","          649.282","         2025.304","      1387342","       835588","         1562.322","          940.977",
"01/01/2016 04:30","          0.90","          1.06","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       5611604","       6584680","          628.500","          737.484","      1572728","       528880","         1755.277","          590.268",
"01/01/2016 04:45","          0.96","          3.40","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       5941917","      21159557","          673.665","         2398.965","      2039729","       961665","         2248.874","         1060.270",
