Date/Time,Interface - In Utilization (%),Interface - Out Utilization (%),Interface Discards - In (%),Interface Discards - Out (%),Interface Discards - In (pkt),Interface Discards - Out (pkt),Interface Errors - In (%),Interface Errors - Out (%),Interface Errors - In (pkt),Interface Errors - Out (pkt),Interface - In (bps),Interface - Out (bps),Interface - In (MB),Interface - Out (MB),Interface - In (pkt),Interface - Out (pkt),Interface - In (pkt/sec),Interface - Out (pkt/sec)
1/1/2016 0:00,1.42,0.31,0,0,0,0,0,0,0,0,8822959,1945537,989.274,218.143,1269460,451332,1415.229,503.157
1/1/2016 0:15,0.99,11.52,0,0.61,0,14260,0,0,0,0,6154958,71636566,693.202,8068.068,1581554,2326655,1755.332,2582.303
1/1/2016 0:30,0.91,17.57,0,0.07,0,2452,0,0,0,0,5689005,109293098,640.013,12295.473,1871299,3351065,2079.221,3723.406
1/1/2016 0:45,0.8,13.87,0,0.09,0,2450,0,0,0,0,4997710,86277847,563.492,9727.828,2067393,2737112,2292.01,3034.492
1/1/2016 1:00,0.81,0.31,0,0,0,0,0,0,0,0,5063526,1938849,572.811,219.332,829965,450802,917.088,498.124
1/1/2016 1:15,1.25,46.24,0,0.01,0,1154,0,0,0,0,7798188,287640808,880.22,32467.456,4797308,8265599,5312.633,9153.487
1/1/2016 1:30,1,15.27,0,0,0,0,0,0,0,0,6234528,94950424,691.253,10527.628,2556858,2957840,2882.591,3334.656
1/1/2016 1:45,0.98,52.27,0,0.1,0,9290,0,0,0,0,6075030,325090118,686.478,36735.185,2386038,9236399,2639.423,10217.256
1/1/2016 2:00,0.9,0.27,0,0,0,0,0,0,0,0,5576232,1688433,627.326,189.949,920440,393355,1022.711,437.061
1/1/2016 2:15,0.9,3.03,0,0,0,0,0,0,2,0,5608853,18862976,631.697,2124.443,1099481,891487,1220.29,989.442
1/1/2016 2:30,1.2,6.26,0,0,0,0,0,0,0,0,7494359,38962791,848.736,4412.536,1441034,1412882,1590.545,1559.472
1/1/2016 2:45,1.33,18.01,0,0.69,0,23311,0,0,0,0,8270717,112040642,921.151,12478.526,1937190,3346258,2174.175,3755.621
1/1/2016 3:00,0.85,0.27,0,0,0,0,0,0,0,0,5310492,1709857,601.413,193.641,1181565,386326,1304.156,426.408
1/1/2016 3:15,0.91,2.18,0,0,0,0,0,0,1,0,5678593,13544456,638.132,1522.058,1283447,712656,1427.638,792.721
1/1/2016 3:30,0.92,13.25,0,0,0,0,0,0,0,0,5749541,82392166,642.511,9207.325,1863078,2601363,2083.98,2909.802
1/1/2016 3:45,0.97,22.99,0,1.09,0,46785,0,0,0,0,6033932,143008392,676.555,16034.817,1921834,4226289,2142.513,4711.582
1/1/2016 4:00,3.69,0.99,0,0,0,0,0,0,0,0,22960564,6149757,2617.504,701.072,2752625,1219174,3018.229,1336.814
1/1/2016 4:15,0.94,2.93,0,0.11,0,939,0,0,0,0,5849387,18245979,649.282,2025.304,1387342,835588,1562.322,940.977
1/1/2016 4:30,0.9,1.06,0,0,0,0,0,0,0,0,5611604,6584680,628.5,737.484,1572728,528880,1755.277,590.268
1/1/2016 4:45,0.96,3.4,0,0,0,0,0,0,0,0,5941917,21159557,673.665,2398.965,2039729,961665,2248.874,1060.27
1/1/2016 5:00,0.86,0.29,0,0,0,0,0,0,0,0,5328205,1824402,608.081,208.21,1337011,411970,1464.415,451.227
1/1/2016 5:15,1.45,66.58,0,1.33,0,156054,0,0,0,0,8997159,414105469,1004.308,46224.523,5171811,11593264,5791.501,12982.379
1/1/2016 5:30,1.17,19.17,0,0,0,0,0,0,0,0,7258361,119232101,821.102,13488.131,2696030,3624370,2979.039,4004.829
1/1/2016 5:45,0.89,9.73,0,0.24,0,5675,0,0,0,0,5565342,60546558,717.233,7802.938,2172956,2316791,2107.62,2247.13
1/1/2016 6:00,0.83,0.27,0,0,0,0,0,0,0,0,5162906,1657979,509.837,163.725,1149726,314786,1455.349,398.463
1/1/2016 6:15,0.92,2.91,0,0,0,0,0,0,0,0,5744554,18072470,648.417,2039.93,1668768,882704,1848.027,977.524
1/1/2016 6:30,0.94,4.99,0,0,0,0,0,0,0,0,5821306,31015341,651.259,3469.841,1568774,1289007,1752.82,1440.231
1/1/2016 6:45,0.9,11.86,0,0,0,34,0,0,0,0,5580283,73743355,628.479,8305.346,2239197,2449174,2485.235,2718.284
1/1/2016 7:00,0.9,0.56,0,0,0,0,0,0,0,0,5627000,3509400,640.775,399.633,1752100,598235,1923.271,656.679
