"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/15/2016 12:00","         19.88","          1.67","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     123654770","      10368134","        12535.503","         1051.070","      9474810","      5061491","        11682.873","         6241.049",
"01/15/2016 12:15","         24.33","          1.88","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     151317307","      11667809","        16852.964","         1299.502","     11930512","      6338928","        13390.024","         7114.397",
"01/15/2016 12:30","         29.57","          1.75","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     183949722","      10869448","        20671.349","         1221.454","     11662398","      5943361","        12972.634","         6611.080",
"01/15/2016 12:45","         18.83","          1.87","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     117100624","      11644318","        13247.009","         1317.263","      8031736","      5498871","         8874.847","         6076.101",
"01/15/2016 13:00","         10.92","          4.58","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      67941597","      28498138","         7617.952","         3195.354","      7029852","      5495015","         7837.070","         6125.992",
"01/15/2016 13:15","         49.47","          4.91","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     307706787","      30540085","        35078.574","         3481.570","     15603225","      8240524","        17108.799","         9035.662",
"01/15/2016 13:30","         42.46","          5.21","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     264094727","      32405739","        29347.527","         3601.088","     15820256","      9628642","        17795.564","        10830.868",
"01/15/2016 13:45","         44.68","          4.57","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     277912720","      28449480","        31334.660","         3207.679","     12327431","      6722783","        13666.775","         7453.196",
"01/15/2016 14:00","         13.05","          4.90","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      81183022","      30502171","        10015.955","         3763.205","      9094573","      6939248","         9214.359","         7030.646",
"01/15/2016 14:15","         18.86","          5.20","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     117319740","      32334560","        13213.136","         3641.680","      9945931","      7201105","        11038.770","         7992.347",
"01/15/2016 14:30","         17.32","          5.16","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     107729095","      32070431","        12186.853","         3627.967","      9893206","      7451086","        10931.720","         8233.244",
"01/15/2016 14:45","         32.24","          5.38","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     200528137","      33472969","        22509.283","         3757.341","     13129933","      8839420","        14621.307","         9843.452",
"01/15/2016 15:00","         16.21","          5.45","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     100843193","      33903263","        10273.400","         3453.895","      8930882","      6769921","        10958.138","         8306.651",
"01/15/2016 15:15","         15.30","          4.74","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      95194832","      29503157","        10709.419","         3319.105","      8355311","      5977017","         9283.679","         6641.130",
"01/15/2016 15:30","         31.91","          4.28","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     198480789","      26622074","        22180.227","         2975.017","     10069944","      5102373","        11263.920","         5707.353",
"01/15/2016 15:45","         20.44","          4.79","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     127155663","      29765139","        14320.907","         3352.299","      8564116","      6242173","         9505.123","         6928.050",
"01/15/2016 16:00","         12.69","          5.11","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      78905975","      31813473","         8926.238","         3598.899","      8023988","      6300183","         8866.285","         6961.528",
"01/15/2016 16:15","         15.56","          5.27","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      96755692","      32759716","        10812.449","         3660.898","      8848391","      6721217","         9897.529","         7518.140",
"01/15/2016 16:30","         13.47","          5.13","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      83773979","      31888870","         9476.932","         3607.429","      7930178","      6576169","         8762.628","         7266.485",
"01/15/2016 16:45","         23.35","          4.77","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     145248184","      29656210","        16322.265","         3332.616","      8760038","      5991024","         9744.202","         6664.098",
"01/15/2016 17:00","          9.81","          4.95","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      60997360","      30760756","         6892.702","         3475.965","      6697115","      5621173","         7408.313","         6218.112",
"01/15/2016 17:15","         50.15","          4.62","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     311912506","      28729633","        34856.223","         3210.536","     13306263","      8016616","        14883.963","         8967.132",
"01/15/2016 17:30","         48.49","          4.82","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     301632111","      29950766","        33820.502","         3358.230","     13735554","      8033879","        15312.770","         8956.387",
"01/15/2016 17:45","         19.08","          5.14","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     118664352","      31981033","        13438.738","         3621.852","     10532684","      7436823","        11625.479","         8208.414",
"01/15/2016 18:00","         25.72","          5.30","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     159953064","      32968193","        19794.192","         4079.814","     15451782","     10204686","        15607.860","        10307.764",
"01/15/2016 18:15","         18.47","          5.02","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     114872444","      31228668","        12822.637","         3485.900","      9072127","      6481711","        10159.157","         7258.355",
"01/15/2016 18:30","         23.59","          4.99","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     146734344","      31025042","        16415.905","         3470.926","      8728972","      6225450","         9753.041","         6955.810",
"01/15/2016 18:45","         30.83","          5.00","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     191771362","      31107109","        21813.993","         3538.434","     12674191","      7775616","        13927.683","         8544.633",
"01/15/2016 19:00","          7.10","          4.93","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      44138443","      30658432","         4965.575","         3449.074","      5313771","      4878337","         5904.190","         5420.375",
